iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,100000,0.2900466562986003,2572,118.44761516541607,844.2550731000083,20000,0.25092250922509224,542,285.14497665968855,70.13975919999939
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.6795016007614433,11557,110.60760951103242,5424.581569500006,20000,1.6234309623430963,239,283.5629615799199,70.53107319999253
2,1200000,2.5096878363832076,5574,107.91189806164607,5560.091248299999,40000,4.007299270072993,137,268.1457047449231,74.58631499999319
3,1800000,4.217401725790988,4172,107.59142401672287,5576.652651299999,60000,6.373831775700935,107,278.1812843671198,71.8955627999967
4,2400000,5.001058201058201,3780,104.8654280614624,5721.618755500007,80000,7.38,100,279.636022453524,71.52154369998607
5,3000000,4.942936148818502,3978,103.18739902588321,5814.663473100023,100000,6.383177570093458,107,277.0744162907366,72.182774099987
6,3600000,5.843989769820972,3519,102.64025521363031,5845.6596658999915,120000,4.1893939393939394,132,284.1090916692099,70.3954945000005
7,4200000,7.3688445445767625,3107,102.04800388851392,5879.585853099998,140000,4.838709677419355,124,282.5664901698033,70.77980119999847
8,4800000,5.734677419354838,3720,101.92598406873527,5886.624549,160000,10.839506172839506,81,283.09590179129674,70.64743740000995
9,5400000,8.325112886418895,2879,103.40710778624194,5802.309075700003,180000,12.986842105263158,76,284.14313088505554,70.38706140001887
10,6000000,7.97548218372017,3059,101.92708465017813,5886.560986800003,200000,9.931818181818182,88,280.91108617332316,71.19690529999207
11,6600000,8.976591075347477,2734,100.74448997872577,5955.660702900001,220000,8.639175257731958,97,280.9964919020905,71.17526580000413
12,7200000,4.171862821512081,5132,99.64604039609922,6021.313015699998,240000,0.27340823970037453,534,277.091121732653,72.17842229999951
13,7800000,8.435854152599594,2962,99.38663629014891,6037.028944699996,260000,9.204545454545455,88,276.2319633769719,72.40291730000172
14,8400000,3.2455789122455787,5994,97.34409240048616,6163.702236099984,280000,0.35073068893528186,479,279.6285025170722,71.52346709999256
15,9000000,2.1836591196737447,7111,94.7343987046824,6333.496683400008,300000,11.532467532467532,77,276.3908607227364,72.36129279999295
16,9600000,6.414491948917268,3602,92.8658058226127,6460.93569839999,320000,10.51685393258427,89,271.26745419735823,73.72797470001387
17,10200000,5.69500244977952,4082,77.97875071393358,7694.403853699972,340000,9.551724137931034,87,186.21948163669788,107.40014860001975
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.631012445341406,11892,63.61343914091678,9431.969220700004,20000,1.1065292096219932,291,134.80407917870147,148.3634629000153
18,10800000,10.049051937345425,2426,68.0247599468541,8820.317785299994,360000,14.173913043478262,69,183.40992418665067,109.04535339999711
2,1200000,2.4377750396057034,5681,64.28021521523263,9334.131785200007,40000,4.643939393939394,132,133.76609599322308,149.5147171000135
19,11400000,11.190239867659223,2418,68.8338733787011,8716.6386337,380000,9.314606741573034,89,186.58917160602522,107.18735620001098
3,1800000,3.9314685314685316,4290,63.026614279263256,9519.787900099996,60000,4.642857142857143,126,139.44691049179048,143.42375839999295
20,12000000,2.0488587291795186,8105,67.43157029251623,8897.909353099996,400000,7.304761904761905,105,189.4957483175548,105.54326509998646
4,2400000,4.800889586603872,3822,63.70611664397087,9418.247910999984,80000,6.438095238095238,105,141.51282259359698,141.3299490000063
21,12600000,1.8485546470114016,8683,69.68632975441199,8610.010056700004,420000,0.24489795918367346,539,186.32691526267752,107.3382230999996
5,3000000,5.373653017241379,3712,64.2301509987137,9341.407277899998,100000,7.717391304347826,92,145.1694942253167,137.76999160001287
22,13200000,4.144087256027555,5226,71.0449999760901,8445.351540600008,440000,14.41095890410959,73,196.2135906036542,101.92973860001075
23,13800000,6.697126585555268,3863,71.85305516752447,8350.375618699967,460000,0.24535315985130113,538,189.96343447991046,105.28341969999019
6,3600000,6.220549158547387,3387,64.71484734972492,9271.442714799981,120000,4.587786259541985,131,141.628420507762,141.21459469996626
24,14400000,0.591307634164777,13230,70.90511359600232,8462.01309849997,480000,4.809523809523809,126,193.07644417828334,103.58591429999797
7,4200000,7.448897795591182,2994,64.21987226947108,9342.902419399994,140000,9.369047619047619,84,130.37675378620528,153.40157980000367
25,15000000,1.2351548628920892,10138,69.40491550701279,8644.920833299984,500000,0.283495145631068,515,185.28470228504906,107.94199279998429
8,4800000,7.349458943348186,3142,62.479402387429666,9603.164836299955,160000,8.297872340425531,94,140.62705995567234,142.22013890004018
26,15600000,2.8245226447845986,6337,68.129354901881,8806.77647490002,520000,11.779220779220779,77,179.8281526387438,111.21729110000888
9,5400000,8.546780505158306,2811,60.51248529499181,9915.309164299979,180000,8.787234042553191,94,140.8737050864272,141.97113640001044
27,16200000,3.181152499204075,6282,69.12082080224882,8680.452474899997,540000,9.113636363636363,88,192.07739502017117,104.12469409999903
10,6000000,9.209422156790577,2717,61.60838902199143,9738.933439500048,200000,11.644736842105264,76,136.95558776602473,146.03274190000957
28,16800000,3.8556131260794473,5790,68.7940797117682,8721.680739300034,560000,0.3104125736738703,509,187.00467225091063,106.94919950002804
11,6600000,3.9291292463881295,5122,60.994195880192336,9837.001559600001,220000,8.052631578947368,95,137.81403663860925,145.12309839995578
29,17400000,4.728434504792332,4695,69.78528634362527,8597.800932499988,580000,12.192307692307692,78,198.74719289598855,100.63035209994996
12,7200000,8.612994350282486,2832,63.787997564332315,9406.158257200033,240000,9.626373626373626,91,152.48466844428077,131.16072719998192
30,18000000,12.086319218241043,2456,73.20457872989009,8196.208630799956,600000,9.517241379310345,87,194.61887737073715,102.76495410001371
13,7800000,9.874728457639392,2762,63.03637909679829,9518.313212100009,260000,2.2857142857142856,182,141.65900816753532,141.18410299997777
31,18600000,12.50082850041425,2414,71.37748190229493,8406.012428699993,620000,14.791666666666666,72,194.6792125141499,102.73310509999283
32,19200000,12.40914659044508,2449,70.36435047150312,8527.045243500033,640000,13.578947368421053,76,193.6840390242099,103.26096099999268
14,8400000,9.515264333581534,2686,61.72583061764274,9720.403824399982,280000,8.50561797752809,89,141.40439051018242,141.43832399998792
33,19800000,10.802113702623906,2744,70.05420439546636,8564.79643409996,660000,6.3,110,192.65274133285575,103.81373170000734
15,9000000,4.888030035335689,4528,61.07627053453738,9823.782538600033,300000,12.9625,80,139.84755827408046,143.0128651999985
34,20400000,12.266432953549518,2282,70.0362326481354,8566.994215899962,680000,16.197183098591548,71,193.97993231241816,103.10344869998517
16,9600000,8.511935483870968,3100,61.20663581962505,9802.858660100028,320000,7.165048543689321,103,141.16029039718626,141.68290489999345
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.3802148737268034,14334,94.37928487265107,6357.3272547,20000,0.7938718662952646,359,185.57641187814642,107.77231759999995
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.677299124555777,11537,88.35876173959431,6790.498058000001,20000,1.423529411764706,255,187.85606779175728,106.46448759999839
2,1200000,1.0286231113002766,9398,89.2114264838506,6725.595853000001,40000,1.808888888888889,225,182.0998021420093,109.82988320000004
2,1200000,2.315753887762001,5916,88.28847583271016,6795.903931299999,40000,2.299492385786802,197,187.71784638474114,106.54288010000164
3,1800000,2.101413543721236,6084,88.5248994963456,6777.754094200001,60000,2.7660818713450293,171,185.99394645130516,107.5303813999999
3,1800000,4.039578454332553,4270,89.06810684727667,6736.418020299996,60000,4.013986013986014,143,186.90588279603924,107.00572769999417
4,2400000,3.319642477122792,4699,89.31015066728786,6718.1613234,80000,4.722222222222222,126,173.9292647264642,114.98927469999762
4,2400000,4.803529717103555,3853,89.20713775415076,6725.919193300004,80000,6.950980392156863,102,188.8492120681181,105.90459859999828
5,3000000,3.5284309533988885,4678,89.65703027214069,6692.1690154000025,100000,3.378205128205128,156,188.5951044667635,106.04729139999836
5,3000000,5.892347230154198,3502,90.21445921121214,6650.818563299996,100000,3.370860927152318,151,187.20210675004859,106.83640449999803
6,3600000,5.038304808475957,3681,90.50754386874331,6629.281652699996,120000,5.747747747747748,111,189.8585749265982,105.34156810000422
6,3600000,5.488508818813469,3742,90.30428103666965,6644.203277100001,120000,0.314,500,186.34574823058756,107.32737500000076
7,4200000,5.059947643979058,3820,90.47386628894651,6631.7493063,140000,6.036363636363636,110,187.1107225736168,106.88858299999993
7,4200000,6.7582518337408315,3272,90.46123870622749,6632.675039399997,140000,7.346534653465347,101,188.85468469300022,105.90152970000054
8,4800000,5.697607379648313,3469,90.78526905669293,6609.001727199997,160000,6.018518518518518,108,186.84271483013936,107.04190430000017
8,4800000,7.213191622381994,3199,90.34988949751407,6640.8492953000095,160000,10.623376623376624,77,187.36381976010887,106.74419440000202
9,5400000,6.091124962897002,3369,90.59705452565896,6622.731866299997,180000,5.362068965517241,116,188.21856737714597,106.25944229999732
iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,600000,0.6489025535912546,11709,223.4211199403975,2685.5115584420273,20000,1.5909090909090908,242,323.70169079898153,61.78528122801799
2,1200000,2.2421532230847117,5926,231.5454978569363,2591.283378658991,40000,2.911764705882353,170,335.491059565689,59.61410723102745
3,1800000,3.4559075342465753,4672,232.136393335499,2584.687352891022,60000,3.6875,144,335.3047797202108,59.64722607500153
4,2400000,4.386689336895798,4117,235.7860032079499,2544.6803111159825,80000,5.491379310344827,116,322.3442635880017,62.045465854986105
5,3000000,5.039405010438413,3832,230.3664851413888,2604.545533747005,100000,5.752212389380531,113,313.4500133316435,63.80602695600828
